person_id;person_trip_id;origin_x;origin_y;destination_x;destination_y;departure_time;travel_time;vehicle_distance;routed_distance;mode;preceding_purpose;following_purpose;returning;euclidean_distance
238688;1;1209598.2182639218;6148229.231139485;1210645.3523512012;6148680.58187485;63274.0;2033.0;0.0;3006.9140034228344;car;shop;leisure;false;1140.2663211098727
283674;3;1230360.7420566166;6177535.11720705;1229805.0091226986;6176241.966844834;63004.0;2328.0;0.0;3256.9426163900894;car;work;home;true;1407.5073545599437
142358;3;1177469.2718528374;6110034.024406339;1175986.5029603373;6109546.520136353;63246.0;2107.0;0.0;2708.966114049574;car;work;home;true;1560.8536131940468
256781;6;1190399.919144983;6184577.44382957;1191727.1994894117;6181818.833853708;61319.0;4036.0;0.0;5794.062870434034;car;work;other;false;3061.3072553459797
202622;3;1235945.6907101094;6158562.653748384;1235288.0762664224;6159020.214321586;63543.0;1835.0;0.0;2574.5548469884397;car;work;home;true;801.1357155284284
63219;4;1178578.6739731648;6111404.631026221;1180660.2605541716;6112148.37891162;62350.0;3038.0;0.0;3779.999378054676;car;other;home;true;2210.4668310704747
256781;7;1191727.1994894117;6181818.833853708;1191727.1994894117;6181818.833853708;65355.0;45.0;0.0;0.0;car;other;other;false;0.0
325110;4;1228703.9445162655;6198824.148538364;1227780.9189856623;6196545.649752121;62627.0;2785.0;0.0;3653.864360652547;car;other;home;true;2458.359788365968
162730;2;1219359.8273667218;6179324.35345407;1229349.803099845;6205756.57074899;61643.0;3796.0;0.0;49098.587157398615;car_passenger;other;home;true;28257.065068302334
114376;2;1177461.1680916818;6110261.06286242;1181303.2582045763;6103362.056324312;53908.0;11565.0;0.0;16618.360804289972;car;home;shop;false;7896.704860159001
196117;1;1179346.8578756817;6176616.613001775;1181349.081363728;6174184.103668107;62940.0;2562.0;0.0;3521.1356203535815;car;other;home;true;3150.555594568625
145236;2;1197972.6409666792;6094843.1304509975;1224570.581759402;6075488.889256451;60597.0;4913.0;0.0;95993.24271993617;car_passenger;other;home;true;32894.33243934068
257785;3;1218954.9405516298;6198005.147705879;1217047.7324278525;6196229.074142823;62646.0;2949.0;0.0;3538.9631557242683;walk;leisure;home;true;2606.1235827928
247932;4;1206826.1743973596;6152360.770017352;1207613.1708189058;6153748.734598035;64448.0;1189.0;0.0;1541.138294842473;car;other;home;true;1595.5591636655722
105493;8;1178533.4982494449;6109229.5055354275;1178578.0970901814;6110502.480855573;64127.0;1606.0;0.0;2432.1588875585812;car;other;home;true;1273.7563433775517
